Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
2024,95,5,0,0,0,0,19,20,18,19,21,22,20,23,20,22,23,22,22,21,20,21,20,21,22,20,22,18,21,19,21,22,0,21,18,23,20,19,20,19,19,20,19,20,18,16,19,19,22,21,21,20,21,18,20,16,20,20,19,0,0,0,0,0
2025,95,5,0,0,0,0,16,21,16,21,19,19,18,18,20,20,21,19,19,19,18,22,20,18,21,20,20,18,19,19,20,19,0,17,17,20,18,18,17,18,15,20,15,19,17,17,17,17,20,17,18,18,18,17,16,18,16,16,18,0,0,0,0,0
2026,95,5,0,0,0,0,19,15,22,19,18,19,20,17,19,18,18,20,20,18,18,19,21,18,19,19,17,18,16,15,18,18,0,18,15,18,14,16,16,16,15,18,15,16,17,17,16,16,15,17,16,15,17,19,16,16,14,16,15,0,0,0,0,0
2027,95,5,0,0,0,0,19,19,19,24,21,21,20,21,19,19,21,23,20,19,21,22,21,21,19,20,19,21,18,20,20,21,0,18,17,22,20,18,19,19,16,17,18,16,20,20,16,20,19,20,16,18,20,19,18,18,20,17,19,0,0,0,0,0
2028,95,5,0,0,0,0,18,20,17,18,19,18,21,20,17,18,21,21,21,19,19,19,21,20,20,18,19,20,18,17,21,20,0,20,18,19,17,20,17,19,16,19,17,17,16,17,16,17,19,18,20,17,17,17,17,15,18,17,18,0,0,0,0,0
2029,95,5,0,0,0,0,18,21,21,21,19,23,20,20,21,21,23,21,22,24,23,21,21,20,23,21,21,19,21,20,19,23,0,19,18,18,19,18,20,18,17,17,17,20,19,21,20,20,18,18,19,16,16,19,18,21,19,19,19,0,0,0,0,0
2030,95,5,0,0,0,0,19,17,17,20,17,19,19,18,16,21,19,18,19,21,21,21,19,19,18,18,18,17,18,18,19,19,0,19,19,18,19,18,18,17,16,17,20,18,17,16,18,18,17,18,19,16,18,19,19,18,20,17,17,0,0,0,0,0
2031,95,5,0,0,0,0,18,18,18,17,17,19,20,17,17,21,18,18,23,18,19,20,20,18,19,19,20,20,18,20,21,15,0,21,18,18,18,18,18,17,21,18,19,18,17,18,18,14,18,17,17,18,18,16,18,18,18,20,17,0,0,0,0,0
2032,95,5,0,0,0,0,19,20,18,20,21,19,19,21,18,20,21,20,20,19,19,19,19,21,21,18,18,19,16,19,18,19,0,17,18,19,17,19,19,20,18,17,15,17,18,18,19,18,18,16,19,17,19,18,19,15,16,19,19,0,0,0,0,0
2033,95,5,0,0,0,0,19,19,22,22,23,22,21,21,21,21,23,23,21,22,21,25,21,19,23,22,23,21,21,20,20,23,0,20,18,21,22,20,22,20,19,20,17,20,20,20,19,18,19,20,21,19,20,19,19,17,19,20,17,0,0,0,0,0
2034,95,5,0,0,0,0,17,18,18,21,19,21,20,18,20,17,21,20,19,22,19,20,20,20,17,22,19,20,17,18,21,20,0,18,17,18,17,17,19,17,15,18,16,16,16,17,18,15,18,18,17,17,18,18,17,16,16,16,18,0,0,0,0,0
2035,95,5,0,0,0,0,18,17,19,20,17,19,18,21,19,18,18,18,18,20,20,17,20,17,19,18,16,16,16,18,17,18,0,19,18,17,17,18,17,17,16,17,16,17,15,16,17,16,16,18,16,19,17,16,15,16,17,16,18,0,0,0,0,0
2036,95,5,0,0,0,0,18,20,20,22,17,22,18,20,22,17,21,18,20,20,24,20,23,20,21,19,21,20,21,21,21,19,0,22,19,22,18,19,18,16,16,18,18,19,16,20,19,16,18,17,19,21,18,20,19,19,20,18,19,0,0,0,0,0
2037,95,5,0,0,0,0,18,16,18,22,21,19,18,19,18,18,21,21,19,17,16,20,20,20,18,19,18,19,20,19,17,18,0,17,18,18,17,18,16,18,18,18,17,20,17,18,15,17,20,19,21,19,16,20,20,15,19,17,19,0,0,0,0,0
2038,95,5,0,0,0,0,20,18,19,19,18,20,19,19,20,18,20,22,20,21,21,22,21,22,19,17,18,20,19,19,18,19,0,20,17,17,18,19,18,19,19,18,18,20,17,18,16,16,17,15,18,19,17,19,17,16,21,16,18,0,0,0,0,0
2039,95,5,0,0,0,0,14,19,17,19,18,20,18,21,23,20,21,20,23,18,17,17,19,19,19,18,17,18,19,17,22,19,0,18,18,20,18,19,18,16,14,20,17,18,18,17,18,18,19,17,19,18,18,16,16,17,16,20,17,0,0,0,0,0
2040,95,5,0,0,0,0,18,18,15,17,17,20,18,18,20,20,21,19,23,22,22,21,20,19,20,21,22,20,16,20,18,19,0,20,18,18,20,19,17,18,16,16,18,18,16,19,17,14,19,18,18,14,19,18,19,18,18,16,17,0,0,0,0,0
2041,95,5,0,0,0,0,16,20,16,20,20,21,20,19,18,21,20,19,20,22,21,20,21,19,20,18,19,20,21,20,20,20,0,18,20,19,17,18,20,17,15,19,16,16,16,19,18,18,17,17,18,17,17,16,20,17,18,15,17,0,0,0,0,0
2042,95,5,0,0,0,0,18,21,21,21,18,20,20,20,18,19,21,20,20,19,20,22,23,20,19,19,18,20,17,16,20,20,0,19,17,18,17,21,19,19,17,17,18,19,17,16,16,17,17,18,18,17,16,17,16,18,17,17,17,0,0,0,0,0
2043,95,5,0,0,0,0,19,22,20,18,18,19,23,19,20,20,21,21,22,21,21,21,20,19,20,21,19,19,18,19,19,19,0,19,20,21,18,19,19,17,19,20,17,18,16,17,19,17,20,17,21,17,18,18,17,19,17,18,17,0,0,0,0,0
2044,95,5,0,0,0,0,22,23,22,24,24,24,23,22,23,23,25,26,25,24,23,24,25,21,23,23,21,22,19,22,24,23,0,23,23,25,23,22,20,23,20,22,20,21,21,22,23,21,23,21,21,22,22,22,22,20,22,19,20,0,0,0,0,0
2045,95,5,0,0,0,0,6,7,6,7,5,6,6,6,6,6,7,7,6,7,5,7,7,5,6,6,6,5,5,6,7,7,0,5,6,7,5,6,5,6,5,5,5,6,5,6,6,5,5,5,5,5,5,5,5,5,5,4,4,0,0,0,0,0
2046,95,5,0,0,0,0,22,21,18,21,22,21,20,18,21,20,22,25,20,22,23,23,23,21,22,22,21,20,19,20,19,21,0,19,20,21,21,20,20,18,18,19,17,22,18,16,21,19,22,17,21,19,19,20,17,19,18,20,16,0,0,0,0,0
2047,95,5,0,0,0,0,17,16,16,17,15,15,17,17,17,15,18,19,16,16,18,18,16,16,18,19,16,19,18,16,18,17,0,16,16,17,16,16,17,14,16,16,16,16,15,16,15,15,15,14,14,13,13,15,13,15,16,15,14,0,0,0,0,0
2048,95,5,0,0,0,0,19,21,17,19,17,21,20,21,19,16,19,22,19,21,21,19,22,19,22,21,19,20,18,19,18,20,0,19,20,19,20,17,17,18,18,17,18,16,18,19,19,17,18,16,19,18,19,17,17,18,18,15,17,0,0,0,0,0
2049,95,5,0,0,0,0,18,18,18,21,19,21,23,22,22,21,24,22,22,21,22,22,20,20,22,21,20,22,21,18,23,23,0,23,22,20,22,20,21,20,21,20,21,19,20,19,21,17,21,17,21,21,21,20,18,18,20,20,19,0,0,0,0,0
2050,95,5,0,0,0,0,20,18,19,21,19,21,19,19,17,20,21,21,21,18,21,20,19,19,18,17,18,16,18,19,20,17,0,20,21,18,19,15,19,16,15,20,17,18,15,16,18,17,17,19,14,19,15,16,17,18,18,19,16,0,0,0,0,0
2051,95,5,0,0,0,0,18,20,16,21,20,20,20,21,19,18,23,17,20,18,17,20,22,17,18,19,19,20,18,20,17,20,0,20,20,19,18,17,19,20,17,15,16,18,15,17,16,17,18,18,17,17,15,19,14,16,16,18,16,0,0,0,0,0
2052,95,5,0,0,0,0,20,18,18,18,17,19,20,22,21,20,23,19,20,21,20,20,22,19,19,17,21,19,21,24,17,20,0,18,18,18,16,18,17,17,17,18,17,20,19,15,18,17,19,17,16,16,17,18,15,20,17,16,18,0,0,0,0,0
2053,95,5,0,0,0,0,17,19,17,20,18,17,18,18,19,18,20,19,21,19,19,19,19,18,19,19,17,18,17,18,17,18,0,19,19,18,16,18,19,17,18,18,17,18,17,16,19,16,19,16,18,16,17,18,16,16,18,17,17,0,0,0,0,0
2054,95,5,0,0,0,0,18,18,19,23,21,22,20,20,21,19,21,22,22,21,21,22,23,21,21,21,21,19,20,20,21,21,0,19,22,21,20,18,21,20,17,17,19,20,19,20,16,17,21,20,18,20,21,17,19,18,17,19,18,0,0,0,0,0
2055,95,5,0,0,0,0,17,21,22,21,20,21,23,20,20,20,23,23,22,19,22,20,19,21,22,19,19,20,20,20,19,19,0,20,19,19,22,18,19,18,19,16,20,18,18,18,18,17,20,19,19,16,18,18,20,18,18,18,17,0,0,0,0,0
2056,95,5,0,0,0,0,16,18,18,20,20,19,20,17,20,18,19,19,21,20,19,20,19,18,19,17,19,19,19,19,17,19,0,16,18,18,16,18,18,18,17,17,18,18,18,17,17,17,17,17,14,18,17,17,16,15,17,12,17,0,0,0,0,0
2057,95,5,0,0,0,0,21,21,14,19,14,20,21,14,17,17,21,19,19,17,17,15,18,15,17,18,18,17,16,17,15,16,0,14,17,16,14,15,17,16,17,17,17,16,15,16,15,16,17,16,16,14,16,14,15,16,15,16,17,0,0,0,0,0
2058,95,5,0,0,0,0,18,20,17,16,18,19,19,21,17,19,21,20,21,17,19,18,20,19,19,19,18,23,18,17,18,21,0,17,18,19,18,16,16,18,17,19,15,18,17,17,16,19,17,17,17,16,17,19,17,16,16,19,18,0,0,0,0,0
2059,95,5,0,0,0,0,19,18,19,19,20,19,19,20,18,18,21,18,20,20,17,21,21,19,20,19,18,19,21,17,18,19,0,17,17,18,16,18,17,15,18,19,19,19,15,18,17,19,17,18,17,18,18,15,18,16,16,14,15,0,0,0,0,0
2060,95,5,0,0,0,0,18,19,19,18,19,18,20,18,17,18,18,21,17,19,21,18,21,18,18,17,18,22,16,19,19,19,0,19,18,17,17,17,18,17,17,16,13,18,20,16,20,16,17,17,19,17,17,14,17,16,17,18,20,0,0,0,0,0
2061,95,5,0,0,0,0,20,19,19,19,18,19,24,22,22,21,20,22,21,21,22,22,21,19,21,21,21,20,18,19,24,19,0,19,20,20,18,19,19,18,17,20,19,21,17,17,19,17,21,20,20,19,18,21,17,15,19,21,18,0,0,0,0,0
2062,95,5,0,0,0,0,21,22,22,24,21,21,22,21,23,21,23,22,22,24,22,24,23,21,21,20,22,21,18,22,23,22,0,21,23,23,21,21,21,21,20,20,19,20,18,20,21,20,22,19,22,21,20,21,20,19,22,19,20,0,0,0,0,0
2063,95,5,0,0,0,0,17,18,18,19,17,17,18,14,19,18,19,17,17,19,18,18,17,17,18,17,18,17,15,17,17,18,0,16,18,17,15,16,15,17,16,17,16,16,16,16,15,16,14,15,16,15,15,16,16,14,16,16,15,0,0,0,0,0
2064,95,5,0,0,0,0,17,18,18,17,18,18,18,15,19,17,18,19,19,18,18,19,17,16,21,18,18,17,16,16,18,16,0,16,17,19,16,18,18,17,17,17,15,17,17,16,17,15,17,15,16,18,14,15,15,15,18,17,16,0,0,0,0,0
2065,95,5,0,0,0,0,17,19,20,18,19,19,18,18,17,18,20,19,19,18,19,19,18,19,20,19,19,18,18,19,17,19,0,16,17,16,17,16,19,18,17,16,17,18,16,17,17,17,17,18,18,19,17,16,17,18,18,18,18,0,0,0,0,0
2066,95,5,0,0,0,0,17,18,15,18,19,18,18,18,19,17,21,20,20,21,20,19,20,16,20,18,18,19,17,17,19,19,0,18,17,19,17,17,16,18,17,18,16,17,15,16,18,15,18,18,17,16,17,16,19,17,16,19,17,0,0,0,0,0
2067,95,5,0,0,0,0,18,18,17,20,20,18,16,18,20,20,21,18,19,20,19,21,20,17,22,17,17,19,18,18,18,21,0,19,18,18,17,17,18,18,17,18,16,18,18,16,18,18,21,18,16,17,18,19,17,17,15,19,19,0,0,0,0,0
2068,95,5,0,0,0,0,17,17,16,17,19,20,18,19,19,19,18,18,19,20,19,19,18,17,19,18,19,18,18,17,18,18,0,18,17,19,16,17,18,19,17,15,17,16,17,15,16,15,15,18,17,18,17,17,13,16,14,15,16,0,0,0,0,0
2069,95,5,0,0,0,0,19,20,19,20,19,21,21,21,21,21,20,21,22,20,20,20,21,19,18,19,19,19,17,17,18,20,0,19,17,18,19,19,19,20,18,16,19,16,18,17,17,18,18,18,18,20,17,20,18,18,17,18,16,0,0,0,0,0
2070,95,5,0,0,0,0,16,16,18,20,17,16,21,18,18,17,18,20,19,19,18,18,19,18,16,18,18,19,17,20,19,18,0,17,16,16,17,16,16,18,14,15,19,19,17,16,16,14,15,18,15,19,18,19,13,15,17,16,16,0,0,0,0,0
2071,95,5,0,0,0,0,21,22,18,19,19,19,19,19,21,17,20,18,18,21,24,19,21,17,20,20,19,19,20,18,17,19,0,19,20,22,18,20,18,17,18,18,18,18,16,19,19,17,18,18,21,18,17,17,16,17,18,17,18,0,0,0,0,0
2072,95,5,0,0,0,0,16,19,18,21,17,18,20,22,20,15,21,18,22,22,20,18,20,17,18,20,19,23,20,19,20,18,0,19,19,20,19,19,17,20,17,15,16,17,16,21,17,17,18,18,17,19,19,17,18,19,18,16,18,0,0,0,0,0
2073,95,5,0,0,0,0,19,18,21,21,19,21,19,20,22,20,22,22,21,21,21,21,22,21,21,21,20,22,19,20,20,22,0,19,20,20,18,18,21,18,18,17,19,17,18,19,19,18,19,17,18,21,18,18,17,19,18,19,18,0,0,0,0,0
2074,95,5,0,0,0,0,18,21,18,19,16,19,21,18,20,18,18,21,18,18,19,21,18,18,20,20,17,18,17,16,19,17,0,19,18,18,16,18,15,17,17,16,18,19,18,17,18,16,18,19,20,16,19,17,19,16,21,18,18,0,0,0,0,0
2075,95,5,0,0,0,0,18,18,16,19,19,20,19,19,20,20,18,21,20,19,18,19,20,19,17,20,17,20,18,19,18,17,0,17,18,17,16,17,18,16,20,16,19,17,17,18,19,14,19,19,16,17,17,19,17,17,17,17,17,0,0,0,0,0
2076,95,5,0,0,0,0,17,20,19,18,20,19,20,20,21,18,19,19,20,19,20,21,20,19,18,17,20,17,17,18,18,21,0,17,20,18,18,17,18,19,16,18,18,16,16,19,15,19,19,18,16,20,17,19,15,16,17,15,18,0,0,0,0,0
2077,95,5,0,0,0,0,17,17,17,20,18,22,17,19,19,18,19,18,20,19,20,19,17,18,18,17,17,19,15,18,17,19,0,20,17,17,13,16,16,19,13,16,17,17,17,17,16,18,19,18,20,17,17,17,17,16,15,17,16,0,0,0,0,0
2078,95,5,0,0,0,0,17,18,19,19,16,21,18,19,22,19,23,20,17,20,20,20,20,18,21,17,18,19,19,18,17,19,0,18,18,21,17,19,15,17,16,19,17,19,17,18,18,18,17,16,18,18,18,16,15,15,19,16,17,0,0,0,0,0
2079,95,5,0,0,0,0,21,16,16,17,19,21,19,19,21,17,20,22,20,20,19,18,19,18,18,20,15,19,19,19,19,20,0,19,17,17,18,19,16,17,16,17,16,16,17,15,16,17,15,17,19,17,17,16,18,17,16,15,17,0,0,0,0,0
2080,95,5,0,0,0,0,17,17,18,19,17,18,20,17,18,20,18,17,19,20,16,22,17,18,17,16,17,17,17,19,20,17,0,18,18,18,16,17,19,17,17,18,15,14,15,18,17,16,16,19,16,16,18,15,18,16,17,18,17,0,0,0,0,0
2081,95,5,0,0,0,0,19,18,18,22,20,18,18,20,20,18,21,22,18,18,21,18,19,17,19,19,18,18,18,19,21,18,0,18,18,19,17,18,17,17,15,18,17,16,14,16,17,18,18,19,17,18,17,18,18,17,18,18,18,0,0,0,0,0
2082,95,5,0,0,0,0,19,20,17,17,18,20,19,20,21,19,22,23,21,16,19,21,19,20,16,19,21,18,19,18,17,16,0,18,18,21,18,18,19,18,17,16,15,18,17,18,18,19,20,15,17,17,17,18,18,16,19,18,18,0,0,0,0,0
2083,95,5,0,0,0,0,17,17,18,21,18,19,17,19,19,17,18,19,17,16,18,19,19,17,18,20,17,19,17,15,18,20,0,17,17,17,15,18,16,17,16,16,15,15,14,16,17,17,18,16,18,17,19,18,15,14,18,14,19,0,0,0,0,0
2084,95,5,0,0,0,0,17,16,19,14,16,18,17,18,17,16,17,16,15,17,17,16,19,18,18,16,17,17,15,19,16,17,0,14,16,16,14,14,15,16,16,17,14,14,14,16,15,15,16,15,17,16,15,16,16,15,15,13,16,0,0,0,0,0
2085,95,5,0,0,0,0,17,18,19,17,17,19,15,20,15,18,18,18,17,17,16,20,20,18,17,18,18,18,16,15,18,17,0,15,17,17,16,16,16,17,17,16,18,16,14,16,15,15,17,18,18,14,15,17,18,18,17,15,16,0,0,0,0,0
2086,95,5,0,0,0,0,15,17,17,18,15,17,17,20,15,17,20,16,18,15,15,16,17,17,17,15,16,16,15,14,14,17,0,16,15,15,17,14,17,15,15,14,14,15,12,15,15,15,14,17,18,16,16,18,16,16,15,16,17,0,0,0,0,0
2087,95,5,0,0,0,0,14,15,17,18,15,16,17,17,17,14,18,19,19,16,18,18,18,17,15,16,17,17,16,16,17,16,0,18,17,16,15,18,15,15,17,17,14,17,13,13,16,15,16,17,16,15,17,15,14,15,15,17,17,0,0,0,0,0
2088,95,5,0,0,0,0,17,15,15,15,16,14,14,14,13,14,13,17,15,15,16,15,16,15,15,14,13,14,13,14,14,15,0,13,14,14,14,13,15,12,14,12,14,13,13,14,12,14,12,13,14,14,15,16,12,14,16,15,12,0,0,0,0,0
2089,95,5,0,0,0,0,19,17,17,18,20,18,17,18,18,18,18,20,18,19,15,20,18,18,20,19,19,17,17,17,19,19,0,19,17,17,15,18,18,18,16,17,15,17,14,18,18,16,17,18,17,18,17,17,18,17,17,17,20,0,0,0,0,0
2090,95,5,0,0,0,0,19,16,17,15,17,16,17,17,18,18,18,17,19,19,17,18,17,19,16,18,13,18,21,15,21,17,0,18,17,17,17,17,18,16,15,18,17,19,18,17,17,17,15,18,17,18,18,16,19,15,20,20,16,0,0,0,0,0
2091,95,5,0,0,0,0,14,16,15,18,17,17,17,17,17,16,16,16,18,19,15,17,18,16,18,17,14,17,16,15,15,17,0,17,17,17,14,13,15,14,15,14,17,14,14,16,17,17,16,15,17,17,14,17,16,15,16,16,18,0,0,0,0,0
2092,95,5,0,0,0,0,17,19,18,17,18,17,16,17,18,20,17,19,19,17,20,17,19,16,18,15,15,18,18,18,19,18,0,14,17,15,14,17,18,20,17,17,16,16,18,18,17,16,18,17,16,19,20,20,17,16,18,18,17,0,0,0,0,0
2093,95,5,0,0,0,0,19,18,17,16,16,16,17,15,18,18,19,17,17,16,17,20,16,16,17,18,16,17,16,18,17,17,0,17,16,17,16,14,17,16,15,14,17,17,18,16,15,15,18,14,17,18,19,17,17,19,20,17,20,0,0,0,0,0
2094,95,5,0,0,0,0,16,18,18,18,17,16,17,16,19,19,19,19,17,16,17,19,18,18,18,17,17,15,16,16,17,17,0,17,17,16,16,16,18,19,15,17,16,16,17,16,17,18,16,19,16,19,17,15,20,17,18,17,19,0,0,0,0,0
2095,95,5,0,0,0,0,13,17,19,18,16,15,18,17,15,20,17,16,17,17,16,18,16,18,17,20,15,17,17,16,15,17,0,16,16,14,15,18,16,18,16,17,13,16,14,13,17,15,20,16,18,15,17,16,15,16,17,16,19,0,0,0,0,0
2096,95,5,0,0,0,0,18,17,19,16,17,17,15,16,17,16,16,18,15,20,17,18,19,16,17,17,18,16,16,16,15,15,0,17,16,17,16,14,14,17,15,17,19,17,16,15,16,15,15,14,15,18,15,14,15,16,17,18,20,0,0,0,0,0
2097,95,5,0,0,0,0,17,18,19,18,15,20,17,20,17,16,20,16,18,17,20,17,16,15,17,15,17,20,16,18,19,16,0,17,17,16,16,16,16,17,18,17,19,18,14,18,17,18,16,18,15,17,16,17,18,16,19,16,17,0,0,0,0,0
2098,95,5,0,0,0,0,21,17,15,15,13,15,13,14,16,12,18,16,17,16,14,15,17,15,13,15,16,14,15,14,16,13,0,16,16,12,14,14,16,14,15,14,17,14,15,12,14,14,14,16,15,13,14,15,14,15,15,15,13,0,0,0,0,0
2099,95,5,0,0,0,0,15,14,15,19,17,16,16,16,16,14,17,15,17,19,17,19,19,13,16,13,17,18,17,17,15,17,0,17,14,16,17,14,15,17,16,17,15,14,15,18,17,15,14,14,18,15,17,15,14,14,16,17,17,0,0,0,0,0
2100,95,5,0,0,0,0,16,15,17,18,16,19,18,18,15,15,20,17,18,18,19,18,18,14,17,17,17,17,17,18,18,19,0,17,17,18,16,16,18,16,17,18,15,15,18,17,16,19,19,17,18,17,17,16,18,18,18,15,17,0,0,0,0,0
2101,95,5,0,0,0,0,17,17,16,18,18,20,17,18,17,17,17,18,17,18,18,17,20,19,18,18,20,15,15,16,15,17,0,16,15,15,18,16,15,16,18,15,17,19,16,16,17,17,17,16,18,17,18,19,15,17,17,15,17,0,0,0,0,0
2102,95,5,0,0,0,0,17,16,16,19,15,19,18,17,17,19,18,18,18,16,18,18,17,18,19,16,16,15,16,18,18,18,0,17,20,20,17,16,16,14,17,18,17,16,16,14,15,16,17,17,19,18,18,19,18,18,20,14,17,0,0,0,0,0
2103,95,5,0,0,0,0,17,17,16,19,13,18,17,14,17,15,18,14,16,18,17,18,17,13,20,17,19,15,18,17,17,17,0,14,15,17,13,18,18,18,17,15,17,15,16,16,15,16,19,16,17,18,17,16,17,16,17,15,19,0,0,0,0,0
2104,95,5,0,0,0,0,14,16,18,19,16,19,18,17,17,17,17,17,20,17,15,17,17,16,16,18,16,15,14,17,17,16,0,17,13,17,15,14,18,18,15,15,15,14,16,17,15,14,17,13,15,16,17,14,18,17,16,16,17,0,0,0,0,0
2105,95,5,0,0,0,0,17,14,16,15,13,16,17,15,17,15,15,15,13,12,13,14,13,15,14,14,14,17,14,15,15,15,0,17,15,14,13,14,14,12,14,15,14,15,12,13,17,12,15,16,16,15,12,15,15,15,16,14,16,0,0,0,0,0
2106,95,5,0,0,0,0,14,17,14,16,15,14,16,14,16,14,16,15,16,16,14,16,17,14,14,15,16,16,16,15,15,15,0,15,15,16,14,14,14,16,14,15,13,16,14,15,15,13,16,15,15,16,15,14,15,14,17,14,14,0,0,0,0,0
2107,95,5,0,0,0,0,15,15,17,17,17,14,17,14,18,15,17,19,15,18,17,19,18,14,17,16,19,16,15,16,18,16,0,16,16,17,13,16,17,17,16,16,17,17,16,17,16,16,16,16,17,13,12,17,17,18,16,14,19,0,0,0,0,0
