Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
98770,95,5,0,0,0,0,11,8,12,12,12,11,11,10,11,10,10,10,11,11,11,9,9,9,11,11,11,8,10,12,9,10,0,11,11,12,9,11,11,8,10,10,10,10,9,11,12,11,11,10,12,11,11,11,12,12,12,11,12,0,0,0,0,0
98771,95,5,0,0,0,0,6,6,3,5,6,6,6,7,6,6,5,7,5,5,6,6,6,5,6,6,6,6,5,5,6,5,0,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,6,6,6,6,6,7,6,6,6,6,7,0,0,0,0,0
98772,95,5,0,0,0,0,22,23,24,27,24,22,23,21,24,22,23,24,23,23,23,23,23,21,23,23,22,23,20,21,23,22,0,23,22,22,20,22,21,21,20,21,20,23,21,21,22,21,24,23,25,24,23,24,24,24,27,26,26,0,0,0,0,0
98773,95,5,0,0,0,0,20,22,21,19,23,20,22,23,23,21,22,22,22,23,21,21,21,19,21,22,21,21,19,21,21,21,0,21,22,21,19,18,21,19,19,20,19,20,19,20,21,21,23,22,22,21,22,23,23,23,25,23,25,0,0,0,0,0
98774,95,5,0,0,0,0,21,21,24,22,22,22,19,23,21,22,22,20,21,21,22,24,21,17,19,21,21,20,16,19,20,19,0,21,18,20,20,19,22,17,19,20,20,19,18,19,21,17,22,23,23,22,23,24,24,22,25,25,23,0,0,0,0,0
98775,95,5,0,0,0,0,8,10,11,9,12,10,11,10,11,10,12,12,12,10,10,11,12,11,10,11,10,10,11,10,11,11,0,11,10,10,10,11,10,10,10,10,9,10,10,10,11,10,13,8,10,12,10,10,10,11,11,11,12,0,0,0,0,0
98776,95,5,0,0,0,0,11,11,10,10,10,10,10,10,11,10,10,11,10,10,10,12,10,10,9,12,10,10,10,9,10,10,0,8,10,9,9,10,9,8,10,9,11,10,9,9,10,9,10,11,10,11,12,11,11,11,13,12,12,0,0,0,0,0
98777,95,5,0,0,0,0,9,9,12,10,11,10,11,10,8,10,11,9,11,10,12,12,8,11,10,10,9,12,10,9,9,8,0,9,10,9,8,9,9,9,12,16,6,14,10,9,9,9,9,11,12,11,11,10,11,10,12,10,12,0,0,0,0,0
98778,95,5,0,0,0,0,11,11,13,13,13,12,12,12,11,12,12,13,13,12,13,11,11,11,13,12,12,12,10,12,11,12,0,10,10,11,11,11,11,10,12,10,12,10,10,12,11,11,11,11,13,11,13,12,12,12,13,12,12,0,0,0,0,0
98779,95,5,0,0,0,0,11,10,12,13,11,11,13,12,11,12,14,13,12,14,12,11,11,11,12,13,11,11,11,12,12,11,0,11,11,11,10,12,11,12,11,11,11,12,12,11,11,11,12,12,12,12,12,11,12,11,14,12,12,0,0,0,0,0
98780,95,5,0,0,0,0,11,8,10,10,10,9,10,10,8,9,9,12,9,11,9,11,10,9,7,9,9,8,10,12,9,10,0,8,8,6,9,8,13,7,11,18,12,10,9,12,10,10,12,9,10,9,11,12,9,9,10,10,12,0,0,0,0,0
98781,95,5,0,0,0,0,59,56,64,70,60,59,64,61,70,65,72,67,68,66,59,79,64,62,65,66,59,60,56,64,77,62,0,74,73,72,58,60,66,68,65,61,59,65,63,62,62,66,62,68,65,60,68,65,64,72,69,63,67,0,0,0,0,0
98782,95,5,0,0,0,0,23,24,24,25,24,26,25,24,26,25,25,26,24,24,23,25,23,22,22,24,22,22,21,24,24,23,0,23,21,23,22,22,23,23,21,22,20,22,21,22,22,23,24,22,23,22,23,22,24,25,26,26,27,0,0,0,0,0
98783,95,5,0,0,0,0,21,25,27,23,26,24,23,25,24,24,26,25,25,24,23,26,22,22,23,22,23,23,20,22,23,22,0,22,22,23,22,20,21,22,21,21,21,23,21,22,22,22,22,23,23,24,24,23,23,25,25,25,25,0,0,0,0,0
98784,95,5,0,0,0,0,8,11,11,9,9,10,11,10,10,13,11,13,11,10,11,10,9,11,10,9,9,9,8,8,7,9,0,10,7,8,8,8,12,7,10,11,4,9,10,8,10,7,8,8,8,8,9,11,9,8,11,12,11,0,0,0,0,0
98785,95,5,0,0,0,0,12,12,10,10,12,10,10,12,9,10,12,11,10,11,10,11,9,10,8,8,11,10,10,10,9,10,0,9,10,9,11,10,9,10,8,8,9,9,7,8,8,10,9,10,9,11,10,10,9,10,11,10,10,0,0,0,0,0
98786,95,5,0,0,0,0,11,9,9,10,10,10,9,9,10,10,10,12,10,12,8,10,12,9,9,9,9,10,9,6,9,10,0,9,8,9,9,7,8,8,9,8,9,8,8,8,8,8,9,8,10,9,9,9,11,10,10,10,12,0,0,0,0,0
