Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
34501,95,5,0,0,0,0,13,5,3,11,13,15,7,7,4,6,2,5,11,5,2,7,2,10,6,5,6,2,6,6,8,2,0,6,9,9,6,8,10,1,7,9,7,8,8,8,8,11,5,14,8,10,9,12,10,8,11,10,12,0,0,0,0,0
34502,95,5,0,0,0,0,8,11,9,12,8,10,9,5,8,7,5,6,9,2,8,4,11,4,3,1,5,9,7,9,11,9,0,5,12,7,7,7,5,8,12,7,7,12,9,9,14,11,17,9,11,13,10,11,11,14,10,13,8,0,0,0,0,0
34503,95,5,0,0,0,0,16,25,26,21,22,17,14,15,16,14,12,10,15,16,9,11,13,9,15,8,17,13,13,13,14,14,0,17,15,16,16,18,22,17,19,23,22,21,23,25,24,29,23,24,29,25,22,22,26,26,28,26,31,0,0,0,0,0
34504,95,5,0,0,0,0,20,29,18,14,28,20,17,21,16,19,19,13,15,13,8,12,16,13,22,14,9,16,21,13,11,19,0,20,18,18,22,19,14,26,26,23,21,24,26,32,29,18,23,33,33,32,25,27,30,34,25,22,29,0,0,0,0,0
34505,95,5,0,0,0,0,10,9,11,8,8,10,7,6,7,9,9,8,5,6,8,8,5,7,6,8,7,5,5,7,6,7,0,8,7,9,9,8,9,11,7,10,8,11,11,9,9,9,14,12,13,14,11,12,11,13,11,11,14,0,0,0,0,0
34506,95,5,0,0,0,0,4,6,6,2,11,8,7,5,4,7,5,8,6,5,5,6,3,5,4,4,6,5,5,2,8,10,0,5,4,6,10,8,7,9,3,8,8,8,7,10,9,10,8,12,11,15,10,13,9,14,9,9,13,0,0,0,0,0
34507,95,5,0,0,0,0,6,8,7,4,7,6,6,7,6,6,6,6,6,4,6,5,5,2,5,5,5,4,3,4,6,5,0,5,5,7,5,8,5,7,7,6,7,10,7,9,8,9,11,7,8,12,10,14,10,13,11,10,12,0,0,0,0,0
34508,95,5,0,0,0,0,18,16,17,15,10,12,19,11,16,10,11,12,7,11,12,15,9,12,11,11,9,9,13,13,15,12,0,18,14,17,18,17,18,14,19,22,23,22,24,20,24,24,26,25,32,26,27,29,26,28,28,26,26,0,0,0,0,0
34509,95,5,0,0,0,0,7,8,10,15,11,10,4,4,10,5,6,6,8,5,7,6,6,7,10,8,3,8,6,4,8,2,0,8,11,9,8,5,8,9,12,6,8,9,8,5,9,9,13,13,10,12,13,11,13,10,15,11,14,0,0,0,0,0
34510,95,5,0,0,0,0,11,8,8,10,8,9,6,9,8,7,4,5,8,6,4,7,5,4,4,8,6,7,4,7,8,9,0,10,8,8,7,9,10,11,8,10,6,10,12,10,14,11,9,12,12,13,13,10,17,12,14,13,14,0,0,0,0,0
