Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
6341,95,5,0,0,0,0,15,15,13,15,16,14,16,14,15,14,18,13,17,18,15,14,18,18,15,19,16,19,17,17,18,17,0,18,20,18,20,20,22,19,16,16,18,19,21,18,18,21,20,22,21,19,19,21,20,22,19,21,18,0,0,0,0,0
6342,95,5,0,0,0,0,12,10,16,14,16,16,17,13,15,16,17,17,21,17,15,16,19,19,18,19,18,19,16,21,20,19,0,18,22,20,17,18,23,19,20,21,22,22,20,22,22,23,20,22,24,21,23,21,20,19,19,17,17,0,0,0,0,0
6343,95,5,0,0,0,0,13,13,13,15,12,15,18,15,19,13,18,18,16,21,16,19,15,19,18,16,16,19,17,19,19,21,0,20,19,17,18,19,20,20,19,18,17,21,19,21,19,23,24,25,21,15,22,17,20,23,21,23,19,0,0,0,0,0
6344,95,5,0,0,0,0,15,14,13,11,14,17,14,15,18,16,12,16,14,17,15,14,15,17,18,14,19,15,15,17,18,19,0,15,20,16,20,17,18,20,19,19,20,19,17,18,15,19,18,19,22,18,19,17,19,18,21,19,15,0,0,0,0,0
6345,95,5,0,0,0,0,16,23,15,17,18,11,13,13,17,15,18,19,19,18,18,19,21,18,17,21,21,16,19,17,21,21,0,20,22,20,21,24,21,19,18,20,21,21,25,23,23,21,20,24,20,21,21,27,23,22,25,23,24,0,0,0,0,0
6346,95,5,0,0,0,0,12,9,10,14,8,12,11,11,12,15,13,16,14,11,10,14,12,11,13,12,13,14,15,15,13,10,0,13,14,14,16,14,10,16,17,16,16,18,16,14,12,16,13,17,15,14,15,13,15,13,14,14,11,0,0,0,0,0
6347,95,5,0,0,0,0,14,13,14,15,14,13,10,13,16,13,15,16,19,17,13,12,16,16,19,17,14,16,17,18,14,18,0,17,17,18,21,17,20,23,19,22,19,21,18,18,19,18,21,23,21,21,18,19,18,19,21,20,18,0,0,0,0,0
6348,95,5,0,0,0,0,13,12,16,15,17,19,13,13,13,17,16,15,19,19,17,18,18,20,21,21,18,19,20,19,20,22,0,21,21,23,22,22,21,22,23,21,22,24,22,19,24,21,22,23,22,21,20,24,21,22,22,20,22,0,0,0,0,0
6349,95,5,0,0,0,0,11,13,11,12,15,18,20,16,15,17,16,19,17,18,15,18,12,18,15,20,18,17,19,18,18,17,0,19,20,16,17,18,22,20,17,22,22,19,21,18,20,24,17,19,22,18,24,22,21,20,19,17,19,0,0,0,0,0
6350,95,5,0,0,0,0,14,14,10,11,12,12,17,13,17,17,15,14,16,15,18,19,15,18,14,16,17,16,18,18,19,17,0,18,21,21,21,23,19,23,23,22,22,23,18,19,22,24,20,21,18,20,21,21,22,22,21,18,21,0,0,0,0,0
6351,95,5,0,0,0,0,12,11,8,11,11,11,7,15,11,11,10,13,12,13,10,13,11,13,10,10,11,14,13,12,14,13,0,15,15,15,16,13,14,14,13,14,14,13,14,14,14,15,15,16,17,13,16,11,13,17,14,16,14,0,0,0,0,0
6352,95,5,0,0,0,0,14,14,16,16,16,13,15,14,19,17,16,18,16,15,17,19,17,16,17,16,17,16,14,21,18,17,0,18,19,15,19,18,18,21,16,15,21,21,18,18,20,20,22,22,23,20,22,19,19,20,20,19,16,0,0,0,0,0
6353,95,5,0,0,0,0,10,14,15,17,14,14,16,14,15,18,15,15,17,17,17,21,19,17,17,17,21,17,23,18,21,19,0,20,22,21,21,20,22,23,19,22,23,20,20,18,19,24,24,21,25,22,22,21,24,21,24,24,21,0,0,0,0,0
6354,95,5,0,0,0,0,16,15,15,12,13,14,12,14,14,14,14,16,14,13,14,15,18,17,15,17,19,18,18,16,17,20,0,19,17,20,18,20,20,20,19,21,20,18,20,20,20,20,22,18,22,24,18,21,23,21,23,19,18,0,0,0,0,0
6355,95,5,0,0,0,0,12,12,14,16,16,14,12,15,14,14,12,17,15,15,18,16,16,19,18,15,22,18,18,23,20,16,0,21,16,20,21,20,20,18,20,20,20,20,19,25,20,21,21,23,23,23,23,24,19,25,22,19,21,0,0,0,0,0
6356,95,5,0,0,0,0,15,9,13,15,15,14,10,16,14,15,15,13,15,17,17,18,17,17,18,16,19,18,15,18,18,21,0,21,19,19,21,19,21,17,16,20,19,23,19,24,21,21,24,20,21,19,22,19,23,18,20,20,20,0,0,0,0,0
6357,95,5,0,0,0,0,11,13,14,15,12,14,16,14,19,14,17,15,18,18,15,18,21,16,18,16,16,17,19,20,18,19,0,19,19,22,23,22,18,21,20,22,21,20,20,20,22,22,20,21,21,21,20,24,23,22,25,18,19,0,0,0,0,0
6358,95,5,0,0,0,0,12,14,14,12,13,12,15,13,15,14,14,16,13,15,13,15,16,17,13,18,17,15,17,22,16,19,0,21,17,16,18,19,19,17,19,20,22,22,20,19,20,20,24,21,21,23,22,20,19,22,26,22,24,0,0,0,0,0
6359,95,5,0,0,0,0,12,14,15,11,11,15,15,19,16,15,18,15,16,14,17,19,19,15,17,19,20,17,15,18,18,21,0,18,19,20,13,21,19,15,22,18,21,21,21,25,27,22,26,23,22,22,18,23,21,22,13,20,21,0,0,0,0,0
6360,95,5,0,0,0,0,8,10,10,10,12,11,13,13,12,12,15,14,13,12,14,13,17,14,14,16,16,17,15,18,17,17,0,17,16,20,17,15,17,20,18,18,16,20,17,24,18,18,19,18,19,23,17,21,19,19,19,19,18,0,0,0,0,0
6361,95,5,0,0,0,0,12,14,14,12,16,13,16,14,13,15,12,14,13,13,14,17,19,17,18,13,13,16,18,16,16,21,0,17,22,18,18,21,20,20,19,27,20,20,19,23,21,21,23,22,20,23,23,24,18,23,23,21,21,0,0,0,0,0
6362,95,5,0,0,0,0,13,12,13,19,17,14,15,15,15,16,17,13,14,19,15,16,17,21,16,17,18,19,17,19,21,16,0,18,19,21,23,16,25,19,20,18,21,20,18,23,23,22,24,24,23,25,19,20,21,21,20,19,24,0,0,0,0,0
6363,95,5,0,0,0,0,13,13,11,15,12,15,14,13,13,13,13,17,19,12,16,16,17,15,16,16,18,16,19,17,16,18,0,18,16,21,21,17,20,23,25,21,20,20,21,18,20,23,19,22,21,21,20,20,19,20,22,23,22,0,0,0,0,0
6364,95,5,0,0,0,0,15,14,15,13,13,14,14,14,16,17,17,17,17,18,15,17,19,16,19,17,17,17,15,21,20,19,0,19,24,21,18,20,20,23,25,23,23,24,24,23,21,28,21,24,24,28,20,28,25,26,24,25,24,0,0,0,0,0
6365,95,5,0,0,0,0,14,13,8,11,12,13,11,13,15,12,12,13,15,15,15,14,14,16,15,17,15,16,16,14,19,14,0,18,19,17,15,15,24,17,22,16,20,17,19,16,22,18,23,19,21,21,28,20,24,14,20,19,21,0,0,0,0,0
6366,95,5,0,0,0,0,15,14,16,17,13,13,16,14,15,17,17,16,17,17,13,18,19,16,15,17,17,18,17,19,20,21,0,21,20,24,22,20,21,24,19,22,24,20,22,25,26,21,20,22,26,23,18,21,22,20,27,26,21,0,0,0,0,0
6367,95,5,0,0,0,0,13,13,12,13,16,14,15,13,15,14,15,12,13,15,11,13,16,14,15,14,14,15,16,15,18,18,0,16,18,19,19,18,17,22,21,20,19,20,24,20,19,23,23,23,22,23,18,20,23,20,21,23,21,0,0,0,0,0
6368,95,5,0,0,0,0,10,11,13,13,12,13,13,16,14,13,12,14,13,14,15,17,16,14,19,14,17,15,15,18,15,16,0,14,18,18,16,17,17,15,17,18,19,21,21,19,20,19,22,20,21,24,19,20,20,17,19,20,21,0,0,0,0,0
