Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
0,121,10,0,0,0,0,14,14,14,16,14,14,13,13,14,13,14,16,16,14,14,18,17,14,16,16,16,16,17,16,19,19,0,21,20,20,22,24,24,24,23,24,23,27,25,25,28,28,29,30,29,29,29,29,29,29,32,29,31,0,0,0,0,0
1,163,8,0,0,0,0,13,15,15,16,15,14,15,14,15,16,17,18,17,17,16,17,17,17,16,17,19,18,17,18,20,20,0,22,21,22,23,23,24,23,23,25,23,27,25,25,26,26,29,29,28,29,28,29,31,29,31,30,31,0,0,0,0,0
2,125,23,0,0,0,0,16,14,16,18,14,14,17,15,16,16,16,15,19,16,16,17,18,17,19,16,18,19,16,20,19,20,0,20,21,24,23,21,24,23,23,24,24,24,24,26,27,27,29,30,29,29,29,29,30,30,30,29,29,0,0,0,0,0
3,125,23,0,0,0,0,7,6,8,9,9,8,9,8,9,6,8,9,9,10,8I (6473) esp_netif_lwip: DHCP server assigned IP to a client, IP is: 192.168.4.2
4,126,4,0,0,0,0,17,16,15,19,14,15,15,17,16,15,18,16,16,19,14,15,17,14,16,17,17,17,18,19,21,19,0,19,22,21,22,22,23,22,24,24,24,26,25,27,24,27,26,31,29,29,28,29,29,29,30,31,29,0,0,0,0,0
5,69,1,0,0,0,0,14,15,16,17,16,14,16,12,15,15,16,17,16,16,16,19,18,16,16,17,17,18,17,19,21,21,0,20,20,24,22,24,23,24,24,27,23,27,25,29,29,29,31,31,30,32,30,31,30,31,33,29,33,0,0,0,0,0
6,126,4,0,0,0,0,18,19,17,20,15,18,16,18,17,15,18,20,16,16,17,19,18,17,18,17,16,18,16,18,19,20,0,24,21,23,24,21,24,26,22,25,24,28,26,29,32,30,32,32,31,31,32,31,32,31,34,33,36,0,0,0,0,0
7,69,1,0,0,0,0,15,15,16,15,15,14,14,13,14,15,16,16,15,16,15,15,15,15,15,15,15,16,15,17,17,19,0,19,20,21,20,20,22,22,24,24,24,25,25,27,27,27,30,28,29,29,30,32,30,31,33,31,32,0,0,0,0,0
8,126,4,0,0,0,0,18,17,19,19,15,19,15,17,17,15,17,18,19,16,15,16,16,16,17,15,16,15,13,18,20,19,0,20,20,22,20,23,22,22,22,24,25,24,23,26,27,27,32,29,31,30,30,31,30,31,33,32,32,0,0,0,0,0
9,69,1,0,0,0,0,15,17,19,16,18,18,17,15,17,16,16,18,17,18,17,18,16,16,16,16,15,15,15,18,19,18,0,18,20,23,21,21,23,23,22,25,25,27,25,27,26,29,31,31,31,30,30,32,31,33,34,32,33,0,0,0,0,0
10,126,4,0,0,0,0,17,16,16,18,15,15,17,15,15,14,14,15,16,14,14,14,14,13,16,14,16,15,13,16,17,18,0,17,21,21,20,20,21,20,21,21,20,24,23,23,23,24,26,27,26,27,26,27,27,27,29,28,29,0,0,0,0,0
11,95,3,0,0,0,0,18,15,17,18,15,17,17,14,16,15,17,18,15,16,18,19,16,15,17,17,17,18,17,18,19,21,0,20,21,21,21,21,24,24,21,25,23,25,24,27,27,29,29,31,28,31,31,30,30,31,33,30,32,0,0,0,0,0
12,95,3,0,0,0,0,17,19,18,19,18,16,16,15,18,17,18,18,19,18,14,18,18,17,17,17,17,18,17,18,22,17,0,20,21,21,22,22,22,23,23,25,24,27,27,27,26,29,29,31,30,32,30,30,32,33,33,34,32,0,0,0,0,0
13,95,5,0,0,0,0,8,8,8,8,9,8,8,8,9,8,6,8,10,7,8,6,9,7,8,8,8I (7513) wifi:,8<ba-add>idx:2 (ifx:1, 28:05:a5:70:00:cc), tid:0, ssn:0, winSize:64,7,8,9,8,0,10,9,10,11,9,11,12,10,12,12,12,13,13,14,13,14
